Company,Year,Price,Age Range,Citizen/Non-Citizen,No. Visitors,Attraction type,Reviews,Notes
GBTB Floral Fantasy,2024,20,Adult,0,,,,weekend weekday same
GBTB Floral Fantasy,2024,12,Child,0,,,,
GBTB Flower Dome+Cloud Forest,2024,32,Adult,0,,,,
GBTB Flower Dome+Cloud Forest,2024,18,Child,0,,,,
GBTB Flower Dome + Supertree,2024,34,Adult,0,,,,
GBTB Flower Dome + Supertree,2024,21,Child,0,,,,
GBTB OCBC Skyway,2024,14,Adult,0,,,,
GBTB OCBC Skyway,2024,10,Child,0,,,,
GBTB Supertree,2024,14,Adult,0,,,,
GBTB Supertree,2024,10,Child,0,,,,
GBTB Floral Fantasy,2024,12,Adult,1,,,,
GBTB Floral Fantasy,2024,8,Child,1,,,,
GBTB Floral Fantasy,2024,8,Senior,1,,,,
GBTB Flower Dome+Cloud Forest,2024,20,Adult,1,,,,
GBTB Flower Dome+Cloud Forest,2024,12,Child,1,,,,
GBTB Flower Dome+Cloud Forest,2024,15,Senior,1,,,,
GBTB OCBC Skyway,2024,10,Adult,1,,,,
GBTB OCBC Skyway,2024,7,Child,1,,,,
GBTB OCBC Skyway,2024,7,Senior,1,,,,
GBTB Supertree,2024,10,Adult,1,,,,
GBTB Supertree,2024,6,Child,1,,,,
GBTB Supertree,2024,6,Senior,1,,,,
Jewel AR Quest,2024,20,Adult,0,,,,weekend weekday same
Jewel AR Quest,2024,18,Adult,1,,,,
Jewel AR Quest,2024,20,Child,0,,,,
Jewel AR Quest,2024,18,Child,1,,,,
Jewel Canopy Park,2024,8,Adult,0,,,,
Jewel Canopy Park,2024,8,Child,0,,,,
Jewel Canopy Park,2024,6,Adult,1,,,,
Jewel Canopy Park,2024,6,Child,1,,,,
Jewel Canopy Park,2024,6,Student,1,,,,
Jewel Canopy Park,2024,6,Senior,1,,,,
Jewel Mirror Maze,2024,18.9,Adult,0,,,,
Jewel Mirror Maze,2024,13.9,Child,0,,,,
Jewel Mirror Maze,2024,15.9,Adult,1,,,,
Jewel Mirror Maze,2024,10.9,Child,1,,,,
Jewel Mirror Maze,2024,10.9,Student,1,,,,
Jewel Mirror Maze,2024,10.9,Senior,1,,,,
USS,2024,62,Child,0,,,,weekend weekday same
USS,2024,83,Adult,0,,,,
USS,2024,59,Child,1,,,,
USS,2024,74,Adult,1,,,,
SEA Aquarium,,,,,,,,
SEA Aquarium,,,,,,,,
Zoo,,,,,,,,
Singapore Flyer,,,,,,,,
Night Safari,,,,,,,,
Bird Paradise,,,,,,,,
Luge,,,,,,,,
Skyline,,,,,,,,
Advenutre Cove,,,,,,,,
Wild wild wet,,,,,,,,
