Company,Country,City,Duration (Mins),Distance (KM),Snow,Tourist_volume_of_cable_car,Cable car Price (SGD),Age_range,Is_Nature,Type_of_trip,is_citizen,PPP,normalized_PPP
Genting Skyway,Malaysia,Pahang,15,3.38,0,"9,900,000",2.84,2,0,1,0,33525.30125,0.3295090407513418
Genting Skyway,Malaysia,Pahang,30,6.76,0,"9,900,000",5.11,2,0,0,0,33525.30125,0.3295090407513418
Genting Skyway,Malaysia,Pahang,15,3.38,0,"9,900,000",1.42,4,0,1,0,33525.30125,0.3295090407513418
Genting Skyway,Malaysia,Pahang,30,6.76,0,"9,900,000",2.56,4,0,0,0,33525.30125,0.3295090407513418
Langkawi Skybridge Cable Car,Malaysia,Langkawi,30,3.4,0,"2,570,000",44.1,2,0,0,1,33525.30125,0.3295090407513418
Langkawi Skybridge Cable Car,Malaysia,Langkawi,30,3.4,0,"2,570,000",44.1,0,0,0,1,33525.30125,0.3295090407513418
Langkawi Skybridge Cable Car,Malaysia,Langkawi,30,3.4,0,"2,570,000",44.1,2,0,0,0,33525.30125,0.3295090407513418
Langkawi Skybridge Cable Car,Malaysia,Langkawi,30,3.4,0,"2,570,000",44.1,0,0,0,0,33525.30125,0.3295090407513418
Langkawi Skybridge Cable Car,Malaysia,Langkawi,30,3.4,0,"2,570,000",29.87,2,0,0,1,33525.30125,0.3295090407513418
Langkawi Skybridge Cable Car,Malaysia,Langkawi,30,3.4,0,"2,570,000",29.87,0,0,0,1,33525.30125,0.3295090407513418
Langkawi Skybridge Cable Car,Malaysia,Langkawi,30,3.4,0,"2,570,000",29.87,2,0,0,0,33525.30125,0.3295090407513418
Langkawi Skybridge Cable Car,Malaysia,Langkawi,30,3.4,0,"2,570,000",29.87,0,0,0,0,33525.30125,0.3295090407513418
Langkawi Skybridge Cable Car,Malaysia,Langkawi,30,3.4,0,"2,570,000",12.23,2,0,0,1,33525.30125,0.3295090407513418
Langkawi Skybridge Cable Car,Malaysia,Langkawi,30,3.4,0,"2,570,000",9.39,0,0,0,1,33525.30125,0.3295090407513418
Langkawi Skybridge Cable Car,Malaysia,Langkawi,30,3.4,0,"2,570,000",24.18,2,0,0,0,33525.30125,0.3295090407513418
Langkawi Skybridge Cable Car,Malaysia,Langkawi,30,3.4,0,"2,570,000",18.49,0,0,0,0,33525.30125,0.3295090407513418
Genting Skyway,Malaysia,Pahang,15,3.38,0,"9,900,000",2.84,2,0,1,1,33525.30125,0.3295090407513418
Genting Skyway,Malaysia,Pahang,30,6.76,0,"9,900,000",5.11,2,0,0,1,33525.30125,0.3295090407513418
Genting Skyway,Malaysia,Pahang,15,3.38,0,"9,900,000",1.42,4,0,1,1,33525.30125,0.3295090407513418
Genting Skyway,Malaysia,Pahang,30,6.76,0,"9,900,000",2.56,4,0,0,1,33525.30125,0.3295090407513418
Tianmen Mountain Cable Car,China,Hunan,28,7.455,0,"34,900,000",43.71,2,0,1,0,21482.56218,0.1715705617502187
Zhangjiajie National Forest Park Cable Car,China,Hunan,6,1,0,"34,900,000",9.3,2,0,1,0,21482.56218,0.1715705617502187
Zhangjiajie National Forest Park Cable Car,China,Hunan,12,2,0,"34,900,000",17.86,2,0,0,0,21482.56218,0.1715705617502187
Tianzi Mountain Cable Car,China,Hunan,10,2.084,0,"34,900,000",13.39,2,0,1,0,21482.56218,0.1715705617502187
Yangjiajie Cable Car,China,Hunan,5.2,1.876,0,"34,900,000",14.4,2,0,1,0,21482.56218,0.1715705617502187
Mutianyu Great Wall Cable Car,China,Beijing,5,0.723,0,"39,949,000",18.9,2,0,1,0,21482.56218,0.1715705617502187
Mutianyu Great Wall Cable Car,China,Beijing,5,0.723,0,"39,949,000",9.44,0,0,1,0,21482.56218,0.1715705617502187
Mutianyu Great Wall Cable Car,China,Beijing,10,1.446,0,"39,949,000",22.7,2,0,0,0,21482.56218,0.1715705617502187
Mutianyu Great Wall Cable Car,China,Beijing,10,1.446,0,"39,949,000",11.33,0,0,0,0,21482.56218,0.1715705617502187
Tianmen Mountain Cable Car,China,Hunan,28,7.455,0,"34,900,000",43.71,2,0,1,1,21482.56218,0.1715705617502187
Zhangjiajie National Forest Park Cable Car,China,Hunan,6,1,0,"34,900,000",9.3,2,0,1,1,21482.56218,0.1715705617502187
